id;produit;nom;siret;adresse;tel;fax;contact_nom;contact_mail;reconnaissance;prez;motscles
10011;Santenay premier cru Les Gravières-Clos de Tavannes rouge;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Rouge - Sec (usage) - Premier cru - 1R280 11;
10012;Santenay premier cru Passetemps blanc;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Blanc - Sec (usage) - Premier cru - 1B280 12;
10013;Santenay premier cru Passetemps rouge;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Rouge - Sec (usage) - Premier cru - 1R280 12;
10014;Santenay premier cru rouge;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Rouge - Sec (usage) - Premier cru - 1R280;
10015;Santenay rouge ou Santenay Côte de Beaune;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Rouge - Sec (usage) -  - 1R279;
10018;Muscat du Ventoux;;;;;;;;;;Fruits, légumes et céréales en l'état ou transformés - Raisin de table -;
10059;Crémant d'Alsace blanc;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin mousseux "Crémant" - Blanc -  - 1B001M00;
10060;Crémant d'Alsace blanc Auxerrois;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin mousseux "Crémant" - Blanc -  - 1B001M 5;
10061;Crémant d'Alsace blanc Chardonnay;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin mousseux "Crémant" - Blanc -  - 1B001M 1;
10062;Crémant d'Alsace blanc Pinot blanc;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin mousseux "Crémant" - Blanc -  - 1B001M 7;
10063;Crémant d'Alsace blanc Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin mousseux "Crémant" - Blanc -  - 1B001M 3;
10064;Crémant d'Alsace blanc Pinot noir;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin mousseux "Crémant" - Blanc -  - 1B001M 6;
10065;Crémant d'Alsace blanc Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin mousseux "Crémant" - Blanc -  - 1B001M 4;
10066;Crémant d'Alsace rosé;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin mousseux "Crémant" - Rosé -  - 1S001M00;
10113;Alsace grand cru Bruderthal Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B006S 1;
10114;Alsace grand cru Bruderthal sélection de grains nobles Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B006D11;
10115;Alsace grand cru Bruderthal sélection de grains nobles Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B006D12;
10116;Alsace grand cru Bruderthal sélection de grains nobles Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B006D13;
10117;Alsace grand cru Bruderthal sélection de grains nobles Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B006D14;
10118;Alsace grand cru Bruderthal Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B006S 2;
10119;Alsace grand cru Bruderthal Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B006S 3;
10120;Alsace grand cru Bruderthal Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B006S 4;
10121;Alsace grand cru Bruderthal vendanges tardives Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B006D21;
10122;Alsace grand cru Bruderthal vendanges tardives Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B006D22;
10123;Alsace grand cru Bruderthal vendanges tardives Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B006D23;
10124;Alsace grand cru Bruderthal vendanges tardives Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B006D24;
10125;Alsace grand cru Eichberg Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B007S 1;
10126;Alsace grand cru Eichberg sélection de grains nobles Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B007D11;
10127;Alsace grand cru Eichberg sélection de grains nobles Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B007D12;
10128;Alsace grand cru Eichberg sélection de grains nobles Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B007D13;
10129;Alsace grand cru Eichberg sélection de grains nobles Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B007D14;
10130;Alsace grand cru Eichberg Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B007S 2;
10131;Alsace grand cru Eichberg Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B007S 3;
10132;Alsace grand cru Eichberg Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B007S 4;
10133;Alsace grand cru Eichberg vendanges tardives Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B007D21;
10134;Alsace grand cru Eichberg vendanges tardives Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B007D22;
10135;Alsace grand cru Eichberg vendanges tardives Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B007D23;
10136;Alsace grand cru Eichberg vendanges tardives Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B007D24;
10137;Alsace grand cru Engelberg Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B008S 1;
10138;Alsace grand cru Engelberg sélection de grains nobles Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B008D11;
10139;Alsace grand cru Engelberg sélection de grains nobles Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B008D12;
10140;Alsace grand cru Engelberg sélection de grains nobles Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B008D13;
10141;Alsace grand cru Engelberg sélection de grains nobles Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B008D14;
10142;Alsace grand cru Engelberg Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B008S 2;
10143;Alsace grand cru Engelberg Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B008S 3;
10144;Alsace grand cru Engelberg Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B008S 4;
10145;Alsace grand cru Engelberg vendanges tardives Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B008D21;
10146;Alsace grand cru Engelberg vendanges tardives Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B008D22;
10147;Alsace grand cru Engelberg vendanges tardives Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B008D23;
10148;Alsace grand cru Engelberg vendanges tardives Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de vendanges tardives - Blanc - Doux - Grand cru - 1B008D24;
10149;Alsace grand cru Florimont Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B009S 1;
10150;Alsace grand cru Florimont sélection de grains nobles Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B009D12;
10151;Alsace grand cru Florimont sélection de grains nobles Gewurztraminer;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B009D11;
10152;Alsace grand cru Florimont sélection de grains nobles Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B009D13;
10153;Alsace grand cru Florimont sélection de grains nobles Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin de sélection de grains nobles - Blanc - Doux - Grand cru - 1B009D14;
10154;Alsace grand cru Florimont Muscat;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B009S 2;
10155;Alsace grand cru Florimont Pinot gris;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B009S 3;
10156;Alsace grand cru Florimont Riesling;Association des Viticulteurs d'Alsace;77890459900033;Maison des vins d'Alsace 12, avenue de la Foire aux Vins BP 91225 68012 COLMAR CEDEX;03 89 20 16 50;03 89 20 16 60;Frédéric BACH;f.bach@ava-aoc.fr;CNV2007/117 du 19 juillet 2007;Monsieur Gilles EHRHART;Vins - Vin tranquille - Blanc - Sec (usage) - Grand cru - 1B009S 4;
